arrayID	seqnames	query_name	codon_count
ROI_00001	talRegion5	N-terminus	287
ROI_00001	talRegion5	repeat	34
ROI_00001	talRegion5	repeat	34
ROI_00001	talRegion5	repeat	34
ROI_00001	talRegion5	repeat	34
ROI_00001	talRegion5	repeat	34
ROI_00001	talRegion5	repeat	34
ROI_00001	talRegion5	repeat	33
ROI_00001	talRegion5	repeat	34
ROI_00001	talRegion5	repeat	34
ROI_00001	talRegion5	repeat	34
ROI_00001	talRegion5	repeat	34
ROI_00001	talRegion5	repeat	34
ROI_00001	talRegion5	repeat	34
ROI_00001	talRegion5	repeat	34
ROI_00001	talRegion5	repeat	34
ROI_00001	talRegion5	repeat	34
ROI_00001	talRegion5	repeat	34
ROI_00001	talRegion5	repeat	34
ROI_00001	talRegion5	repeat	34
ROI_00001	talRegion5	repeat	34
ROI_00001	talRegion5	repeat	34
ROI_00001	talRegion5	repeat	34
ROI_00001	talRegion5	repeat	34
ROI_00001	talRegion5	repeat	34
ROI_00001	talRegion5	repeat	34
ROI_00001	talRegion5	repeat	20
ROI_00001	talRegion5	C-terminus	278
ROI_00002	talRegion5	N-terminus	287
ROI_00002	talRegion5	repeat	34
ROI_00002	talRegion5	repeat	34
ROI_00002	talRegion5	repeat	34
ROI_00002	talRegion5	repeat	34
ROI_00002	talRegion5	repeat	34
ROI_00002	talRegion5	repeat	34
ROI_00002	talRegion5	repeat	34
ROI_00002	talRegion5	repeat	34
ROI_00002	talRegion5	repeat	34
ROI_00002	talRegion5	repeat	34
ROI_00002	talRegion5	repeat	34
ROI_00002	talRegion5	repeat	34
ROI_00002	talRegion5	repeat	34
ROI_00002	talRegion5	repeat	20
ROI_00002	talRegion5	C-terminus	278
ROI_00003	talRegion5	N-terminus	287
ROI_00003	talRegion5	repeat	34
ROI_00003	talRegion5	repeat	34
ROI_00003	talRegion5	repeat	34
ROI_00003	talRegion5	repeat	34
ROI_00003	talRegion5	repeat	34
ROI_00003	talRegion5	repeat	34
ROI_00003	talRegion5	repeat	34
ROI_00003	talRegion5	repeat	34
ROI_00003	talRegion5	repeat	34
ROI_00003	talRegion5	repeat	34
ROI_00003	talRegion5	repeat	33
ROI_00003	talRegion5	repeat	34
ROI_00003	talRegion5	repeat	33
ROI_00003	talRegion5	repeat	34
ROI_00003	talRegion5	repeat	34
ROI_00003	talRegion5	repeat	34
ROI_00003	talRegion5	repeat	34
ROI_00003	talRegion5	repeat	34
ROI_00003	talRegion5	repeat	34
ROI_00003	talRegion5	repeat	34
ROI_00003	talRegion5	repeat	34
ROI_00003	talRegion5	repeat	34
ROI_00003	talRegion5	repeat	34
ROI_00003	talRegion5	repeat	34
ROI_00003	talRegion5	repeat	34
ROI_00003	talRegion5	repeat	20
ROI_00003	talRegion5	C-terminus	278
ROI_00004	talRegion6	N-terminus	288
ROI_00004	talRegion6	repeat	34
ROI_00004	talRegion6	repeat	34
ROI_00004	talRegion6	repeat	34
ROI_00004	talRegion6	repeat	34
ROI_00004	talRegion6	repeat	34
ROI_00004	talRegion6	repeat	34
ROI_00004	talRegion6	repeat	34
ROI_00004	talRegion6	repeat	34
ROI_00004	talRegion6	repeat	34
ROI_00004	talRegion6	repeat	34
ROI_00004	talRegion6	repeat	34
ROI_00004	talRegion6	repeat	34
ROI_00004	talRegion6	repeat	34
ROI_00004	talRegion6	repeat	34
ROI_00004	talRegion6	repeat	34
ROI_00004	talRegion6	repeat	34
ROI_00004	talRegion6	repeat	34
ROI_00004	talRegion6	repeat	34
ROI_00004	talRegion6	repeat	34
ROI_00004	talRegion6	repeat	34
ROI_00004	talRegion6	repeat	34
ROI_00004	talRegion6	repeat	20
ROI_00004	talRegion6	C-terminus	278
